"return_period_yr","surge_m","lower_95","upper_95","gumbel_m"
1.5,0.677227324944768,0.63691058210552,0.721075964896606,0.677306594439827
2,0.738460753658103,0.694413255376923,0.788585724763349,0.73964058541261
3,0.805220070670543,0.753884202769894,0.856728000278774,0.81221289164033
5,0.874224116749061,0.81452386550639,0.927158864557064,0.893042786507283
10,0.953569007399145,0.874527321561638,1.01812338993508,0.994608391597904
15,0.994988803424252,0.903001771326049,1.0716211656177,1.05191084772871
25,1.04321994458889,0.930462984975934,1.14070599745113,1.1229368028751
50,1.1028477180898,0.964498708680704,1.24090028467502,1.21813814921773
100,1.15680956864648,0.991608921073021,1.34513203311402,1.3126365437628
200,1.20585279719426,1.00761796566621,1.46445146658519,1.40679012953974
350,1.24223337056098,1.01750758896906,1.5611678195857,1.48267608263129
500,1.26404046606968,1.02279772372141,1.62361367562042,1.53100790764069
